undergrad_uni,undergrad_uni_tier
Georgia Institute of technology ,1
Rajiv Gandhi college of engineering and research ,3
Mithila public school ,3
Narsee Monji Institute of Management Studies,2
KVSR Siddhartha College of Pharmaceutical Sciences,3
Guru Nanak Dev Engineering College,2
HKBK College of Engineering,3
"VIVEKANAND INSTITUTE OF TECHNOLOGY, CHEMBUR",3
University Institute of Engineering and Technology,2
"College of Engineering,Trivandrum",2
"Mahatma Gandhi Missions College of Engineering and Technology, Noida",3
Easwari engineering College,3
"MIT Art, Design and Technology University",3
Smt Manorama Bai Mundle College Of architecture,3
Kumaon Engineering College Dwarahat,2
"College of Engineering, Guindy, Anna University",2
S.A. Engineering College,3
PESIT South Campus,2
Tilak Maharashtra University,3
MJCET,2
"narsee monjee institute of technology management and engineering, vile parle, mumbai",2
Notre Dame University,1
K.L.University,2
"IIIT, Delhi",1
CMR Technical Campus,3
PDM College of Engineering,3
national institute of food technology entrepreneurship and management,2
vishwa vishwani Institute of Systems and management ,3
"vignan institute of technology and science
",3
CMR COLLEGE OF ENGINEERING AND TECHNOLOGY,3
Vignana Bharthi institute of technology,3
navrachana university,3
Brilliant Grammar School Educational Societys Group Of Institutions,3
SSM college of engineering,3
keshav memorial institute of technology,2
Don Bosco Institute Of Technology,3
Jaipur National University,3
Central university of jharkhand,3
KPR Institute of Engineering and Technology,3
K J Somaiya College Of Engineering,2
B.M.S College of Engineering,2
Army Institute of Technology,3
G.L. Bajaj Institute Of Technology And Management,3
Mumbai University,2
Bombay College Of Pharmacy,2
Tirumala Engineering College,3
Vikrama Simhapuri University,3
FISAT,3
JB INSTITUTE OF ENGINERING AND TECHNOLOGY,3
Sri Venkateswara College of Engineering ,3
Bharat institute of engineering and technology,3
IIT Roorkee,1
College of Engineering Tr,3
"Bharti Vidyapeeth College of Engineering for Women, Pune",3
BKPS college of Architecture,2
osmania university,2
Parul University,3
carnegie mellon University,1
K J Somaiya ,2
Global Institute of Management & Technology,3
"Central Institute of Plastic Engineering & Technology , Guindy",2
M V G R COLLEGE OF ENGINEERING,3
"SIES College of Arts, Science, and Commerce",2
SKN Sinhgad Institute Of Technology ,3
Chandigarh College of Engineering and Technology,3
SRM chennai,2
"KJ Somaiya Institute Of Engineering And Information Technology, Sion",2
Iupui,2
Dr. Baliram Hiray College Of Architecture ,3
Rukmadevi Pannalal Laddha Maheshwari College,3
ABC,3
pillais college of engineering navi mumbai,3
G H Raisoni Academy of Engineering and Technology,3
RMD Engineering College,3
National Institute of Technology Rourkela,2
"University of California, San Diego",1
"institute of technology and management, gwalior",3
Shree L.R.Tiwari College,3
sree chitra,2
NIFTEM,2
Sinhgad Institute of Management,3
Amrita Vishwa Vidyapeetham,2
Dr Lankapalli Bullayya college of engineering for women,3
Gokaraju Rangaraju College Of Pharmacy,3
Oman Medical College,3
Islamic University of Science ,3
prasad v potluri siddharth,3
lords college of engg and tech,3
PDPM Indian Insititute of Information Technology Design and Manufacturing,2
University of Edinburgh,1
IIPS,3
FUN College of Engineering,3
"Institute of Engineering and Technology, DAVV",2
Gitam institute of science ,2
K.K.Wagh college of engineering education and Research,3
KLE Technological University,2
"Shivajirao S. Jondhale College Of Engineering, Dombivali",3
MIT Aurangabad,3
ACEM,3
Patel College of Science & Technology,3
Babulal Tarabai Research & Technology,3
MIT-ADT UNIVERSITY,2
Sri Devi Women Engineering College,3
A.M.reddy memorial college of engineering and technology,3
IIT Goa,1
"Government College of Engineering, Aurangabad",2
"Indira Gandhi Institute of Technology,GGSIPU",2
KIIT,2
RGUKT RK Valley,2
"Ideal Institute Of Technology, Wada",3
RV College Of Engineering,2
Gvp College Of Engineering,2
Ln G V Rao Modern degree college,3
Sri Rajiv Gandhi College of dental sciences and hospitals,3
Dr J J Magdum college of engineering ,3
"College of Engineering Trivandrum, Thiruvananthapuram",2
MGM dental college,3
Bharati Vidyapeeth Deemed University College of Engineering,2
University of Louisville ,2
"Smt. Kashibai Navale College Of Engineering, Vadgaon",3
"BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE, PILANI ",1
Pacific school of engineering,3
"University Of Engineering And Management , Kolkata",3
German University in Cairo,2
PES Insitute Of Technology And Mgmt.,3
"school of commerce, Davv",2
Northwestern Polytechnic University,3
svs institute of dental sciences,3
college of engineering pandharpur ,3
Sri Manakula Vinayagar Engineering college,3
ITM University Gurgaon,2
BLDEAs PG Halakatti College Of Engineering,3
MS Ramaiah Institute of technology ,2
"Rajarajeshwari college of engineering ,Bangalore",3
"Jawaharlal Nehru technological University, Anantapur",2
TIT College,3
MITSOM College,3
"Vidya Pratishthan's College Of Engineering, Baramati",3
National Institute of technology Delhi,2
"National Institute of Technology, Rourkela",2
"College of Engineering, Pune",2
..,3
I.T.S Engineering College,3
"Institute of management studies ,davv ,indore,india",3
CVR College Of Engineering,3
Ethames degree college,3
"smt kashibai navale college of engineering, pune  ",3
Kerala University of health sciences,3
Hemwati Nandan Bahuguna Garhwal University,3
Cks TEJA COLLE,3
"BPIT,rohini",3
"trinity college of engineering and research, pune",3
PK Technical Campus,3
BANGALORE INSTITUTE OF TECHNOLOGY,2
"Bangladesh University of Engineering and Technology, Dhaka",2
Auroras Scientific Technological And Research Academy,3
Sree Chitra thirunal college ,3
Indian institute of technology madras,1
Vignan University,3
"national institute of technology,Goa",2
"Sri Venkateswara Institute of Technology , Anantapur ",3
Malwa Institute of Technology,3
Bharati Vidyapeeth deemed University College of Engineering,2
IIT Madras,1
BTL Institute Of Technology,3
K S Rangasamy college of Technology,3
Nimra Institute of Science and Technology,3
Bir Sreshtha Munshi Abdur Rouf College,3
Sumandeep vidhyapeeth deemed University ,3
Nashik District Maratha Vidya Prasarak  Samaj's Karmaveer Baburao Ganpatrao Thakare,3
l j,3
Geetanjali college of engineering and technology ,3
sirt,3
"PVPIT,PUNE",3
IBS ,3
"College of Agriculture, Nagpur",3
Shreeyash College Of Engineering &Technology,3
Kits warangal,2
Confidential,3
ccoew,3
"Sri Venketeswara College of Engineering, Chennai",3
Anant National University,3
Vignans institute of information technology,3
vit university,2
University of Kalyani,3
"government engineering college, valsad",3
Government Engineering College Aurangabad,3
"Maharashtra university of health sciences, Nashik  ",3
"government engineering college,thrissur",2
Maharana Pratap University of Agriculture and Technology,3
Shahjalal University of Science & Technology,2
Tkm Institute Of Technology,3
St Ann’s college of Engineering & Technology ,3
B V Raju Institute of Technology,2
"Ramrao Adik Institute of Technology , Nerul",3
IIT Dharwad,1
asd,3
IISER Thiruvananthapuram,1
Manakula vinayagar institute of technology,3
v r siddhartha,2
G L Bajaj Institute of Technology and Management,3
JNTUK UCEV,2
RV College Of Architecture,2
SIRT Bhopal,3
K. J. Somaiya Institute of Engineering,3
A.p.shah institue of technology,3
Joginpally B.R Engineering College ,3
Vivekanand Education Society's Institute of Technology,2
Government Engineering College,3
Vivekananda College Of Engineering And Technology,3
Northwest Missouri State University,3
"University institute of engineering and technology, panjab University",2
University Visveswaraya College of Engineering,2
KLN,3
Pvp Siddhartha Institute Of Technology,2
East West University,3
St Mary's Presentation Convent School,3
AMU Engineering,2
Guru Nanak Institute of Technology ,3
Engineering College Bikaner  ,2
st john college of engineering and technology,3
"SGSITS, Indore",2
RCOEM,2
Amrit Science Campus,3
P.V.K.K. Institute of Technology,3
Sanjay Ghodawat Insitutte,3
"K.J. Somaiya College of Engineering, Vidyavihar",2
Maharishi Arvind College of Engineering & Technology,3
Prof Ram Meghe institute of technology and research,3
pillai college of engg,3
visakha institute of engineering and technology ,3
Priyadarshini College of Engineering,3
sikkim manipal university,3
nizam college basheerbagh,2
Indian Institute of Information Technology Trichy,2
Rungta College of engineering and technology,3
Chilkur Balaji Institute Of Technology,3
marwadi education foundation,3
Vignan,3
mohandas college of engineering and technology,3
"M.V.P's K.B.T. College of Engineering, Nashik",3
VNR Vignana Jyothi Institute Of Engg. And Technology,3
Sushila Devi Bansal College of Technology,3
AHMEDABAD Institute of medical sciences,3
Westin College Of Business Management ,3
Sir CR Reddy College for women ,3
Gokaraju Lailavathi Womens Engineering College,3
Gujrat University ,3
"Shah and Anchor kutchhi college of engineering, Mumbai",3
Joginpally BR Engineering College,3
Dr Bhanuben Nanavati College ofArchitecture,3
indraprastha university,2
Federal University of Technology Owerri,2
.....,3
mahindra ecole centrale,2
New York Institute of Technology,2
Girijananda chowdhury institute of management and technology ,3
Gogte Institute of Technology,3
"Late G. n. Sapkal college of engg, Nashik",3
"karmaveer bhaurao college of engg,satara",3
"Lokmanya Tilak College Of Engineering, Koparkhairane",3
Sinhgad academy of engineering,3
Dr.Mahalingam College of Engineering and Technology,3
Vartak college,3
G.V. Acharya Institute Of Engineering ,3
"Bharati Vidyapeeth College Of Engineering,PUNE",3
Dr.NTR University Of Health Sciences,3
"Birla Vishvakarma Mahavidyalaya Engineering College, Anand, Anand",2
Dhanalakshmi College Of Engineering ,3
Shridevi Institute Of Engineering And Technology,3
"Sri Taralabalu Jagadguru Institute of Technology , Ranebennur",3
PVPIT,3
Shree Ramkrishna Institute,3
"Government College Of Engineering, Avasari",3
Vidya vikas institute of engineering and technology,3
saveetha engineering college,3
Kishinchand Chellaram College,3
GANDHINAGAR INSTITUTE OF TECHNOLOGY,3
"R. H. Sapat, Nashik",3
Singapore Management University,1
MEASI academy of architecture,3
"IEM, Kolkata",2
TRR Engineering College,3
institute of technology nirma university,2
"GESCOE,Nashik",3
jntuh ceh,2
"ZHCET, AMU",2
National Institute Of Engineering,2
K.Ramakrishnan College of Technology ,3
government engineering college surat,2
IIIT kottayam,2
mgm college of engineering kamothe,3
 Gandhi Institute Of Technology and Management,2
Christ University ,2
Vidhyavardhinis College Of Engineering And Technology ,3
University of Minnesota ,2
Careers point,3
"St. Xavier's College, Ahmedabad",2
Baruch College,2
"Indian Institute of Technology, Bhubaneshwar , Bhubaneshwar",1
Madan Mohan Malaviya University of Technology,2
"Maharaja Institute Of Tech, Mysore",3
BIT Institute of Technology,2
siddartha institute of science and technology,3
Purbanchal University,3
vir narmad south gujarat university,2
institute of engineering nepal,2
malla reddy institute of management ,3
sri sai ram institute of technology,3
klef,2
Chhotubhai Gopalbhai Patel Institute of Technology Gopalbhai Patel Institute of Technology,3
"Sreyas Institute Of Engineering Technology, Hyderabad",3
IPEC GHAZIABAD,3
MVJCE,3
Maharishi Markandeshwar University,2
SRMCEM,3
"Prof Ram Meghe College Of Engineering And Management, Amravati",3
SRM IST,2
Medicaps Institute of Technology and Management,3
JNTU Kakinada,2
Silveroak College Of Engineering And Technology,3
"Dr. Annasaheb Shinde College of Agricultural Engineering and Technology,MPKV,Rahuri",2
Dr.B.N.college Of Architecture,3
saint louis University,2
SRR Engineering College,3
Choithram International,3
Maamallan Institute Of Technology,3
sjbit,3
University of Mumbai ,2
Chhotubhai Gopalbhai Patel Institute of Technology,3
MEFGI,3
"Rajeev Gandhi College of engineering and technology,Nandyal",3
RISE Krishna Sai Gandhi Group Of Instutions,3
University of Nebraksa,2
Banaras Hindu University,1
st anns college hyderabad,3
"D.Y.Patil College of Engineering, Akurdi, Pune",2
pragathi college of engineering,3
"Vel Tech University , Avadi",3
Swami Vivekanand College of Engineering,3
SV degree college ,3
Vivekanad education society institute of technology ,3
Vivekananda institue of science and  technology,3
LBCE,3
Major S.D Singh Medical College And Hospital,3
Hirasugar Institute Of Technology,3
"Mody University of Science and Technology, Lakshmangarh",3
vaagdevi institute of technolgy and sciences,3
gujarat,3
Sri Chaitanya Degree College,3
visvesvaraya technological university,2
Saanvi Degree College for women,3
"G.H.Raisoni College of Engineering,Nagpur",3
"G.pullareddy engineering college,kurnool",3
Scient Institute Of Technology,3
sri Venkateswara institute of technology ,3
SRM University,2
Nagpur University,3
Brac University,3
"Nagindas Khandwala College, Malad",3
indian institute of technology - Banaras Hindu University,1
International institute of professional studies,3
UTA Arlington ,2
Sinhgad College of Architecture,3
CMR Technical Campus ,3
Asian Institute of Technology,2
Aissms College of Pharmacy ,3
Himalaya College of engineering ,3
K L University,2
Srm ap,3
Brihan Maharashtra College of Commerce,3
Osmania Medical College,2
"ITM UNIVERSE ,VADODARA,GUJARAT",3
BITS Pilani,1
R.M.K Engineering college,3
"SJB Institute Of Technology, Bengaluru",3
NIT Jalandhar,2
Indian Institute of information Technology Guwahati,2
Ajmer Institute of Technology,3
New ljiet,3
University College of engineering Kanchipuram ,3
Punjab,3
st josephs college of arts and science,3
institute of pharmaceutical education and research,3
RGIT ,3
B.S.Abdur rahman university,3
University of Ibadan,2
St John College Of Engineering And Technology,3
National University of Sciences and Technology,2
Hindustan College of Science and Technology,3
"Padmabhooshan vasantdada patil institute of technology, bu",3
YDIT,3
Mody University of Science and Technology,3
Kalasalingam Academy of Research and Education,3
California State University Fullerton,2
Govt engineering college trivandrum,2
Vishwakarma institute of information technology pune,2
GEHU,3
"Sree Chitra Thirunal College Of Engineering, Thiruvananthapuram",2
RK University,3
Rajeev Gandhi Proudyogiki Mahavidylaya,3
"Govt Rajiv Gandhi Institute Of Technology , Versova, Mumbai",2
Jntuh,2
Jntuk Ucev,2
G.Pullareddy engineering college,3
Sri Muthukumaran Institute Of Technology,3
Sri Jagadguru Chandrashekaranatha Swamiji Institute of Technology,3
sakec,2
Swami Vivekananda Institute Of Technology,3
A C Patil College of Engg,3
iiser pune,1
Government Dental College and Institute,2
Balaji Institute Of Engineering And Sciences,3
Punjab Technical University,2
spoorthi degree college ,3
"K J SOmaiya College of Arts and Commerce, VIdyavihar, Mumbai",2
hindu college of pharmacy,3
"Sanjay ghodawat institutes,atigre",3
st aloysious college,2
IIT Kanpur,1
Bharati Vidyapeeth Medical College,2
Vishwakarma Government Engineering College,2
Dr.Bhanuben Nanavati College of Pharmacy,3
Oregon State University,2
SRM Valliammai Engineering College,3
BUET,1
Laxminarayan Institute of Technology ,2
Ramrao Adik Institute of Technology,2
Valliammai Engineering College,3
sindhi college,3
Scsvmv University,3
"SRM University,  AP,  Amaravati",2
"BMS Institute Of Technology, Bengaluru",2
"Federal University of Technology, Akure",2
U. V. PATEL COLLEGE OF ENGINEERING,3
U.V.Patel College Of Engineering,3
Lewis University,2
Savitribai Phule Polytechnic,3
padre conceicao college of engineering,3
"gayathri vidya parishad, Visakhapatnam",3
Atria University ,3
Bhojreddy engineering college for women,3
Panjab University,2
Deenbandhu Chottu Ram University of Science and Technology,3
PESIT,2
SJBIT,3
st andrews college,3
American University of Nigeria,3
Cmrcet ,3
"Government Engineering College, Modasa",3
gist,3
st johns college  palghar,3
University of Essex,2
National Insistute of fashion Technology,2
"Government city college, Nayapul",3
university of texas,2
Rajiv gandhi  institute of dental college and hospital,3
Kakatiya Institute Of Technology And Science For Women,3
M.H SABOO SIDDIK COLLEGE OF ENGINEERING ,3
jims kalkaji,3
"MPSTME, NMIMS University, Mumbai",2
"N.Y.S.S Datta meghe college of engineering, Navi Mumbai",3
Gitam,2
Vignan Institute Of Technology And Science,3
Tezpur university,2
MESCOE,3
NIT Patna,2
sastra university,2
"Indian Institute of Information Technology, Sricity",2
"Sinhgad Institute Of Technology And Science, Narhe",3
IIT  Dhanbad,1
"California State University, Northridge",3
"St. Andrew's College of Arts, Science and Commerce",3
"Indian Institute of Science Education and Research (IISER), Pune ",1
California State University Northridge ,3
SKNCOE,3
UIC,2
St.Xavier's catholic college of engineering ,3
A. D. Patel Institute of Technology,3
"School of Engineering and Technology, Jain University",3
"Vr Siddhartha Engg College, Vijayawada",3
Agni College Of Technology,3
IITM,1
Army Institute Of Technology,3
Shri Guru Gobind Singhji Institute of Engineering ,3
"Institute of Chemical Technology  , Matunga, Mumbai",1
bojjam narsimhulu college of pharmacy for women,3
vishveshwarya institute of engineering and technology,3
NIT Sikkim,2
RVR&JCCE,3
Balochitan University of Information Technology Engineering and Management Sciences,3
NITMAS,3
Siva Sivani degree college,3
"Sri Chaitanya, hyderabad",3
kec,3
"centurion university of technology and management, andhra pradesh, vizianagaram ",3
Vishwakarma Institute Of Technology,3
Dhruva Institute Of Engineering And Technology,3
St.John College of Engg and Technology,3
"Institute Of Technical Education and Research , Bhubaneswar*",2
Columbus state university ,3
Dr. L B college of engring ,3
LNCT Bhopal,3
Andhra University ,2
National University of Computer and Emerging Sciences,2
M. V. Madali's Colleges of Commerce & Science,3
Delhi Pharmaceutical Sciences and Research University ,2
"ADCET,ASHTA",3
CIIT,2
sreenidhi institute of science and technology ,3
apeejay institute ,3
University of Wisconsin-Madison,1
Tolani Maritime Institute,3
sihngad,3
"Loyola College, Chennai",2
"Amrita Vishwa Vidyapeetham, Coimbatore ",2
Shah And Anchor Kutchhi Engineering College ,3
"International Institute of Information Technology , Bhubaneswar*",2
JSS college Dharwad,3
MBS School of Planning and Architecture,3
"M.V.S.R. Engineering College,Nadergul",3
VESIT MUMBAI,3
"University of Minnesota , Minneapolis",1
Silver oak college of engineering and technology,3
"Samarth Group Of Institutions, Bangarwadi",3
Carmel college of engineering and technology,3
vvp engineering college rajkot,3
oooo,3
Adi Shankara Institute of engineering and technology,3
Fairleigh Dickinson University,3
Sinhagad College Of Engineering,3
"SIES College of Commerce and Economics, Sion",2
channabasaweshwara institute of technology gubbi,3
"Institute Of Technology, Nirma University",2
Ldrp ITR,3
tbilisi state medical university,2
Lendi college of eni,3
Patkar College,3
pondicherry engineering college,2
st lawrence college,3
Punjab university chandigargh,2
chalmeda anandarao institute of medical sciences,3
jawaharlal nehru technological university,2
Unknown,3
Fergusson College ,2
smt indira gandhi college of engineering,3
"IOE,Thapathali Campus,TU Nepal",2
"IIPS,DAVV",2
Chung Yuan Christian University,2
Maharaja Ganga Singh University,3
University of texas at Arlington,2
"ness wadia college of commerce ,pune",2
NIFT,2
Apeejay College of Engineering,3
Sarva Bharatiya Shiksha Peeth,3
Gyan Vihar University,3
University of Hawaii Manoa,2
University College Of Engineering Kariavattom,2
Virginia commonwealth university,2
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SONEPAT,2
"UIET, Panjab University, Chandigarh",2
Psg college of technology,2
Rachana sansad ,2
Sathyabama Institute of Science and Technology,2
Amity Institute Of Aerospace Engineering,3
Usha Rama College of Engineering and Technology ,3
MS Ramaiah University of Applied Sciences,2
LNCT BHOPAL,3
"SRM University , Ghaziabad, U.P.",2
Prasad v Potluri Siddhartha Institute of Technology ,3
IP University,2
university of new haven,3
CVSR college of engineering,3
"Tirumala engineering college, Narasaraopet",3
Nowrosjee wadia ,2
"SRTTC, VIT, Pune, Kamshet Campus",2
Rajahmahendri Institute Of Engineering And Technology,3
DAVV,2
University of Ilorin,2
KITS-Guntur,2
svit,3
NSHM Knowledge Campus,3
"Bundelkhand Institue of Engineering & Technology, Jhansi",2
Vishwakarma Institute of technology,2
APS College Of Engineering.,3
Indus Institute of Technology and Engineering,3
SUNY POLY ,2
Mgm college of engineering and technology,3
P.M.B. Gujrati Commerce College ,3
jntuh college of engineering sultanpur,3
"MIT WPU, Pune",2
Institute of Engineering and Management,3
Srinivasa ramajuna institute of technology,3
"mgm medical college, kamothe, Navi Mumbai",3
"Narsee Monji Institute of Management Studies, Mumbai",2
bapatla ,3
Guwahati University,2
Merchant engineering college ,3
RGUIIIT,2
K.J Somaiya Institute of Engineering and Information Technology,2
sri sairam collage of engineering,3
Vishwakarma institute of information technology,2
AITAM,3
Dr. M.G.R Educational and Research Institute,3
mit,1
DIT UNIVERSITY,3
Chulalongkorn University,2
Mallareddy college of engineering for women,3
"Konkan Gyanpeeth College Of Engineering, Karjat",3
PEC Chandigarh,2
Bvcits,3
Cmr University,3
M.Kumarasamy College of Engineering,3
university of madras,2
Pdpu,2
SRM Institute Of Technology,2
kalol Institute of research center ,3
vasavi college of Engineering,2
SEAS-AU,2
CSU East bay,2
Khulna University,2
G H RAISONI COLLEGE OF ENGINEERING ,3
Swami Keshwanand Institute of Technology Management & Gramothan,3
SP college,3
Indian Institute of Information Technology Nagpur ,2
annamacharya institute of technology and sciences,3
Bunker Hill Community College ,3
Ku college of engineering and technology,2
"Sipna College Of Engineering And Technology , Amravati .",3
Jaywantrao Sawant College Of Engineering,3
veltech multitech Engg college,3
"Northern India Engineering College, Lu",3
B.V.BHOOMRADDI COLLEGE of ENGINEERING and TECHNOLOGY,2
Stani Memorial College of Engineering & Technology,3
NATIONAL INSTITUTE OF FOUNDRY AND FORGE TECHNOLOGY ,2
Maharashtra institute of technology aurangabad,3
Cochin university of science and technology,2
University of the west of England ,2
Sri Bhagawan Mahaveer Jain College of Engineering,3
Himalayan Whitehouse International College,3
Royal global university,3
Bapatla Engineering College,3
Rama University,3
Hindustan Inst. of Tech. Sc. & Mgmt.,3
Federal University of Agriculture Makurdi,3
"Indian Institute of Information Technology, Bhopal",2
Maharashtra university of health sciences,3
"Chandigarh University,Gharuan",2
VASIREDDY VENKATADRI INSTITUTE OF TECHNOLOGY,3
l.j.institute of engineering and technology,3
sri indu college of engineering and technology,3
mar athana,3
SASTRA University,2
International University - Vietnam National University,2
Matrusri Engineering college hydera,3
kathmandu engineering college,3
"Mukesh Patel School Of Technology Management And Engineering , Mumbai",2
K.K.W.I.E.E.R,3
Nemi Chand College of Engineering,3
Sree Chaitanya College Of Engineering,3
GSSSietw,3
Mount Holyoke College,1
Sree Vaanmayi Institute Of Engineering And Technology,3
MVSR college of engineering,3
Mukesh Patel School of Technology Managament and Engineering,2
Dr.G.Y.pathrikar college of cs &I T,3
vignan Lara's institute of technology ,3
Institute of Aeronautical Engineering ,3
Sinhgad college of Engineering,3
St. PVPPCOE,3
MG university,3
Thapar Institute of Engineering & Technology,2
"National Institute Of Technology, Raipur",2
Rayat and Bahra Institute of Engg and Tech,3
Sri Kottam Tulasi Reddy Memorial College Of Engineering,3
BML MUNJAL UNIVERSITY,2
pvppcoe,3
"Bhavans Vivekananda College, Osmania University",3
Institute of Road and Transport Technology ,3
KL University,2
Jodhpur Institute Of Engineering & Technology,3
"st john college of engineering and technology, Palghar",3
R.V.R. ,3
Government Model Engineering College Thrikkakara ,3
Panimalar engineering college,3
Kalinga Institute Of Technology,2
Gurgaon Institute of Technology ,3
K. S. School of Business Management,3
satyabhama,2
"SRM University, AP - Amaravati",2
Vignan Institute of Technology and Aeronautical Engineering,3
International Institute Of Information Technology,1
National Institute of Technology Goa,2
Auroras Technological And Research Institute,3
Velammal College of Engineering and Technology,3
MVSR Engineering College,3
"VIT,Pune",2
Vedica Institute of Technology,3
Basaveshwara Enginering College,3
Mount Carmel College Bangalore,2
Rizvi College of Architecture,2
Maestro school of planning and architecture,3
navrachana university ,3
M.S. Ramaiah institute of technology,2
"K. J. Somaiya College Of Engineering, Mumbai, Mumbai",2
University of houston clear lake,3
MGM college of engineering,3
LTCE,3
sri vani educational society group of institutions,3
"SASTRA University , Thanjavur",2
School Of Excellence in Law,2
Institute of Chartered Accountants of India,3
SNS College of Engineering,3
Pillai HOC College of Architecture,3
Aurora's degree college ,3
IIST,1
Sardar Vallabhbhai Patel Institute of Technology,3
Usha mittal institute of technology,3
GEC BHARUCH,3
D J SANGHAVI COLLEGE OF ENGINEERING ,2
st marys college,3
Ahmadu Bello University,2
University of technology and management,3
sasi institute of technology and engineering,3
Apeejay School of Architecture and Planning,3
"Vivekanand Education Society's Institute Of Technology , Chembur",2
Jagruti Institute Of Engineering And Technology,3
"MSIT,Janakpuri",2
MNM Jain ,3
Sri Krishna Devaraya University,3
bapatla engineering college,3
London School of Economics,1
School Of Planning And Architecture,1
"Maeer's MIT College Of Engineering, Kothrud",2
Dr MGR Medical University,2
PSG Tech,2
Guindy College of engineering,2
"Dr. D. Y. Patil Biotechnology And Bioinformatics Institute, Pune",3
"Ambedkar university, delhi",2
"College of Engineering - Guindy , Anna University Campus, Guindy",2
K.J Somaiya College of Science and Commerce,3
MIT AOE,3
NIT Silchar,2
"Indian Institute of Information Technology, Allahabad",2
JBIET,3
University of punjab,2
"Pad.Dr. D.Y. Patil Institute Of Engineering And Technology, pimpri, Pune",3
Visvesvaraya College Of Engineering And Technology,3
Amity School of Engg and technology,3
University Institute of Technology,3
B V Bhoomaraddi,3
Chhattisgarh Swami Vivekanand ,3
"College of Technology, Govind Ballabh pant university",2
NBKR institute of science and technology,3
Meenakshi Academy of Higher Education and Research,3
Jodhpur National University,3
jayoti vidyapeeth women's university,3
Geetanjali Institute Of Science And Technology,3
kkwagh,3
Dronacharya College of Engineering,3
Kalinga Institute Of industrial Technology,2
Aditya Silver oak institute of technology,3
CCS university,3
"Cleveland State University, Cleveland",3
The Open University,3
MVR college of engineering and technology,3
new vision school,3
local college,3
Green valley public school,3
VESIT,3
"university institute of engineering and technology,kurukshetra university,kurukshetra",2
"PCET's Pimpri Chinchwad college of engineering, pune",3
Pontificia Universidad Católica de Chile,2
Uttarakhand Technical University,3
Mahaveer Institute Of Science And Technology,3
People's college of dental science and research centre,3
"Fr. Conceicao Rodrigues College Of Engineering, Bandra",3
"Thangavelu Engineering College , Karapakkam, OMR",3
Vignan university,3
Atmiya ,3
Sri venkateshwara college of engineering and technology,3
Guru nanak Dev university Amritsar,2
Hindusthan College Of Engineering And Technology,3
"Indian Maritime University , Visakhapatnam",2
B N M Institute of Technology ,3
Sardar patel institute of technology,3
Sri venkateswara engineering college for women,3
Rajkiya Engineering College,3
Nandhi Institute of Technology And Management Studies,3
Manglore Institute of Technology and Engineering,3
St. Joseph Engineering College,3
Govt. Rajiv Gandhi Institute of Technology,3
St.Martins Engineering College,3
Ravenshaw University,3
Ymt Dental College And Hospital,3
NUST,2
mallareddy Institute of pharmaceutical sciences,3
svuce,3
Goa engineering college,3
government engineering college modasa,3
...........,3
University of Benin,2
"Nirma University, Ahmedaba",2
Jesus and mary college,3
Poojya Dodappappa College Of Engineering,3
"Annamacharya Institute of Technology, Rajampet, Rajampet",3
kJSIEIT,3
K. J. Somaiya Institute of Engineering and Information Technology,3
"Nirma University, Ahmedabad",2
West Bengal University of Technology,3
St.josephs college of Engineering,3
lakkireddy ballireddy college of engineering,3
itmu,3
Christu Jyothi Institute Of Technology And Science,3
kansas state university,2
babaria institute of technology,3
Narasaraopeta engineering college ,3
KJSCE,2
SSIPMT,3
Academy of Maritime Education and Training,3
University of Central Lancashire,2
PHCET RASAYANI,3
Priyatam Institute of Technology & Management,3
ATSS College of BS & CA,3
"Bharat Institute of Technology,Meerut",3
Bhavans New Science College,3
L. D. College Of Engineering,2
ritumbara college,3
....,3
"Maeer's MIT School Of Management,Pune",3
kalol institute of technology,3
sal institute of technology and research ,3
RGM College of engineering and technology,3
terna engineering college,3
"Dr. T Thimaiah Institute Of Technology,  Oorgaum",3
"Anil Surendra Modi School of Commerce, NMIMS University",2
"Govt. college of Engineering, Karad",2
a.p shah institute of technology,3
Maharishi Dayanand University,3
"Sharadchandra Pawar College of Engineering, Dumbarwadi",3
K.E. society's Rajarambapu Institute of Technology,3
G. Narayanamma Institute of Technology & Science,3
thapathali engineering campus,3
Jnana Vikas Institute Of Technology,3
SGSITS,2
National Taipei University of Education,3
sri prakash college of engineering,3
Vesit Chembur,2
K J Somaiya Institute of Engineering ,2
Krishna Institute of Engineering and Technology,3
"malineni lakshmaiah engineering college, Ongole",3
Gayathri Vidya Parishad College of Engineering,2
Federal University Oye Ekiti,3
Mahavir Swami College of Engineering and Technology,3
Siddhartha institute of technology and sciences,3
School of Planning and Architecture,2
TKM College of Engineering,2
"Matrusri Engineering College, Saidabad",3
Manipal college of dental sciences,2
MIT COLLEGE OF FOOD TECHNOLOGY,3
Government College Of Engineering Karad ,2
JNTUHCEJ,2
St Xavier's college ,2
Calicut university ,3
L.D.College Of Engineering,2
father agnel,2
Shram Sadhana College of Engineering and Technology,3
"Dr.D.Y.Patil College Of Engineering, Akurdi",2
RV Dental College,2
"Easwari Engineering College, SRM Ramapuram Campus, Chennai",2
SDMIT COLLEGE UJIRE,3
nagarjuna college of engineering and technology,3
